fragment_formula,fragment_mass,polarity,reference
Cl- ,34.969403,neg,Koelmel et al. 2022
C2F- ,42.9989532,neg,Koelmel et al. 2022
CFO- ,46.9938682,neg,Koelmel et al. 2022
CF2- ,49.9973564,neg,Koelmel et al. 2022
C2H2S- ,57.9882712,neg,Koelmel et al. 2022
C2FO- ,58.9938682,neg,Koelmel et al. 2022
C2H3S- ,58.9960958,neg,Koelmel et al. 2022
C2H4S- ,60.0039204,neg,Koelmel et al. 2022
PO2- ,62.964143,neg,Koelmel et al. 2022
CO2F- ,62.9887832,neg,Koelmel et al. 2022
SO2- ,63.962452,neg,Koelmel et al. 2022
SO2H- ,64.9702766,neg,Koelmel et al. 2022
C4HF- ,68.0067778,neg,Koelmel et al. 2022
CF3- ,68.9957596,neg,Koelmel et al. 2022
NO2S- ,77.965526,neg,Koelmel et al. 2022
Br- ,78.918886,neg,Koelmel et al. 2022
PO3- ,78.959058,neg,Koelmel et al. 2022
HNO2S- ,78.9733506,neg,Koelmel et al. 2022
C2HF2O- ,79.000096,neg,Koelmel et al. 2022
SO3- ,79.957367,neg,Koelmel et al. 2022
SO3H- ,80.9651916,neg,Koelmel et al. 2022
C2F3- ,80.9957596,neg,Koelmel et al. 2022
PO2F- ,81.9625462,neg,Koelmel et al. 2022
SO2F- ,82.9608552,neg,Koelmel et al. 2022
C4H3S- ,82.9960958,neg,Koelmel et al. 2022
CF3O- ,84.9906746,neg,Koelmel et al. 2022
C4F2- ,85.9973564,neg,Koelmel et al. 2022
C3H2SF- ,88.9866744,neg,Koelmel et al. 2022
CNSO2- ,89.965526,neg,Koelmel et al. 2022
C2H3SO2- ,90.9859258,neg,Koelmel et al. 2022
CH2NO2S- ,91.9811752,neg,Koelmel et al. 2022
C5HS- ,92.9804466,neg,Koelmel et al. 2022
CH3NO2S- ,92.9889998,neg,Koelmel et al. 2022
C3F3- ,92.9957596,neg,Koelmel et al. 2022
CH2SO3- ,93.9730162,neg,Koelmel et al. 2022
CH3SO3- ,94.9808408,neg,Koelmel et al. 2022
SO4H- ,96.9601066,neg,Koelmel et al. 2022
PO4H2- ,96.9696222,neg,Koelmel et al. 2022
C2F3O- ,96.9906746,neg,Koelmel et al. 2022
C5F2- ,97.9973564,neg,Koelmel et al. 2022
SO3F- ,98.9557702,neg,Koelmel et al. 2022
PO2F2- ,100.9609494,neg,Koelmel et al. 2022
C4F3- ,104.9957596,neg,Koelmel et al. 2022
C3H5SO2- ,105.001575,neg,Koelmel et al. 2022
C2H2SO3- ,105.9730162,neg,Koelmel et al. 2022
C3F3O- ,108.9906746,neg,Koelmel et al. 2022
C3H3SF2- ,108.9929022,neg,Koelmel et al. 2022
CFSO3- ,110.9557702,neg,Koelmel et al. 2022
CH3FNSO2- ,111.987403,neg,Koelmel et al. 2022
C2F3O2- ,112.9855896,neg,Koelmel et al. 2022
C5H2FS- ,112.9866744,neg,Koelmel et al. 2022
C5H3FS- ,113.994499,neg,Koelmel et al. 2022
C4H3SO2- ,114.9859258,neg,Koelmel et al. 2022
C4H4SO2- ,115.9937504,neg,Koelmel et al. 2022
C2HF4O- ,116.9969,neg,Koelmel et al. 2022
C4H5SO2- ,117.001575,neg,Koelmel et al. 2022
C4H6SO2- ,118.0093996,neg,Koelmel et al. 2022
C2F5- ,118.992566,neg,Koelmel et al. 2022
C3H5NO2S- ,119.004649,neg,Koelmel et al. 2022
C3H6NO2S- ,120.0124736,neg,Koelmel et al. 2022
C4F3O- ,120.9906746,neg,Koelmel et al. 2022
C2H4NO3S- ,121.9917394,neg,Koelmel et al. 2022
C6FS- ,122.9710252,neg,Koelmel et al. 2022
C2H3SO4- ,122.9757558,neg,Koelmel et al. 2022
C2H5FNO2S- ,126.0030522,neg,Koelmel et al. 2022
I- ,126.905027,neg,Koelmel et al. 2022
SF5- ,126.964638,neg,Koelmel et al. 2022
C5H3SO2- ,126.9859258,neg,Koelmel et al. 2022
C3HF4O- ,128.9969024,neg,Koelmel et al. 2022
C3H4SF3- ,128.99913,neg,Koelmel et al. 2022
CF2SO3- ,129.9541734,neg,Koelmel et al. 2022
CHF2SO3- ,130.961998,neg,Koelmel et al. 2022
C3F5- ,130.992566,neg,Koelmel et al. 2022
C3F5- ,130.992566,neg,Koelmel et al. 2022
C5H8O2S- ,132.0250488,neg,Koelmel et al. 2022
CF3SO2- ,132.9576616,neg,Koelmel et al. 2022
C5H3F2S- ,132.9929022,neg,Koelmel et al. 2022
C2F5O- ,134.987481,neg,Koelmel et al. 2022
C4H7O3S- ,135.0121392,neg,Koelmel et al. 2022
C2H2NO4S- ,135.9710052,neg,Koelmel et al. 2022
C3H5O4S- ,136.991405,neg,Koelmel et al. 2022
C5HF4- ,137.0019874,neg,Koelmel et al. 2022
C4H2SF3- ,138.9834808,neg,Koelmel et al. 2022
C2HF2SO3- ,142.961998,neg,Koelmel et al. 2022
C6HF2S- ,142.977253,neg,Koelmel et al. 2022
C2H4FSO4- ,142.9819836,neg,Koelmel et al. 2022
C4F5- ,142.992566,neg,Koelmel et al. 2022
C4H3F4O- ,143.0125516,neg,Koelmel et al. 2022
C3F5O- ,146.987481,neg,Koelmel et al. 2022
C5H4FSO2- ,146.9921536,neg,Koelmel et al. 2022
CHF3NO2S- ,147.9685602,neg,Koelmel et al. 2022
C4H8N2O2S- ,148.0311968,neg,Koelmel et al. 2022
CF3SO3- ,148.9525766,neg,Koelmel et al. 2022
C4H9N2O2S- ,149.0390214,neg,Koelmel et al. 2022
C4H10O3NS- ,152.038687,neg,Koelmel et al. 2022
C5F5- ,154.992566,neg,Koelmel et al. 2022
C4F5O- ,158.987481,neg,Koelmel et al. 2022
C4H3SF4- ,158.9897086,neg,Koelmel et al. 2022
C2F3SO3- ,160.9525766,neg,Koelmel et al. 2022
C2H3F3NO2S- ,161.9842094,neg,Koelmel et al. 2022
C2H2F3SO3- ,162.9682258,neg,Koelmel et al. 2022
C3F5O2- ,162.982396,neg,Koelmel et al. 2022
C6H2F3S- ,162.9834808,neg,Koelmel et al. 2022
C2H5F2O4S- ,162.9882114,neg,Koelmel et al. 2022
C5H11N2O2S- ,163.0546706,neg,Koelmel et al. 2022
C5H8O4S- ,164.0148788,neg,Koelmel et al. 2022
C4H9O3N2S- ,165.0339364,neg,Koelmel et al. 2022
C5H12NO3S- ,166.0543362,neg,Koelmel et al. 2022
C6F5- ,166.992566,neg,Koelmel et al. 2022
C5H5F2SO2- ,166.9983814,neg,Koelmel et al. 2022
C3F7- ,168.9893724,neg,Koelmel et al. 2022
C5F5O- ,170.987481,neg,Koelmel et al. 2022
C6H4O4S- ,171.9835804,neg,Koelmel et al. 2022
C7F3S- ,172.9678316,neg,Koelmel et al. 2022
C3H2F3SO3- ,174.9682258,neg,Koelmel et al. 2022
C6H3F2SO2- ,176.9827322,neg,Koelmel et al. 2022
C4HF6O- ,178.9937088,neg,Koelmel et al. 2022
C4H4SF5- ,178.9959364,neg,Koelmel et al. 2022
C2F4SO3- ,179.9509798,neg,Koelmel et al. 2022
C2HF4SO3- ,180.9588044,neg,Koelmel et al. 2022
C4F7- ,180.9893724,neg,Koelmel et al. 2022
C5H12NO4S- ,182.0492512,neg,Koelmel et al. 2022
C2F5SO2- ,182.954468,neg,Koelmel et al. 2022
C6H3F4S- ,182.9897086,neg,Koelmel et al. 2022
C5H12FN2O2S- ,183.0608984,neg,Koelmel et al. 2022
C4H3F2SO4- ,184.9725622,neg,Koelmel et al. 2022
C3F7O- ,184.9842874,neg,Koelmel et al. 2022
C6HF6- ,186.9987938,neg,Koelmel et al. 2022
C5H6F3SO2- ,187.0046092,neg,Koelmel et al. 2022
