mz,rt,mz_area,mz+1_area,mz+2_area
168.9899,3.997,1230301,33334,
230.9866,4.84,6158535,253669,
294.9826,4.847,1414737,94998,
170.1187,4.855,168209,13111,
380.9768,5.009,371265,19843,
488.9632,5.01,836596,85418,
225.0074,5.135,183013,30343,
564.4129,5.205,68743,19422,
294.9825,5.206,2759463,178378,
213.0557,5.263,89003,6637,
225.0073,5.278,103826,19609,
197.1549,5.355,240114,6691,
218.9868,5.364,1425768,55866,
262.9765,5.365,317730,12194,
430.9738,5.37,305732,18716,
474.9635,5.371,192058,11119,
538.96,5.374,709567,64524,
422.9711,5.393,272756,6911,
328.9842,5.396,311774,17513,
242.9865,5.397,771270,14749,
297.1704,5.412,110374,8413,
298.9434,5.489,3775394,183979,
301.9535,5.49,3418720,65103,
243.1604,5.552,121600,11323,
225.008,5.605,142902,17463,
344.9794,5.665,9266192,584993,
280.9834,5.665,18583696,960945,
242.1767,5.695,1550188,213227,
588.9564,5.72,387032,32189,
480.9704,5.721,185636,8611,
524.9602,5.721,155185,8724,
269.1397,5.788,181364,16178,
422.9711,5.801,147023,5032,
241.039,5.838,72772,9728,
376.9852,5.841,305047,8745,
253.145,5.862,1499800,250565,
209.1552,5.863,1449768,185319,
272.9969,5.971,1891719,9450,
312.9737,5.972,592201,35218,
183.1393,5.989,213351,10426,
348.9401,6.025,3854761,201537,
350.9369,6.026,173194,10125,
269.1396,6.035,170728,21956,
255.124,6.036,269631,30581,
638.9534,6.084,238740,17354,
299.0264,6.085,241062,52130,
479.9539,6.113,27628,15787,
394.9762,6.12,6702974,524317,
330.9801,6.12,8818337,652510,
168.9898,6.121,453410,9284,
209.9672,6.263,338431,12782,
295.1553,6.303,412429,70267,
236.1057,6.406,438352,61961,
293.1764,6.407,1637344,313436,
221.1549,6.407,471812,64450,
279.1603,6.427,100819,16407,
309.1708,6.436,115590,16959,
239.1291,6.481,520019,62202,
195.1392,6.482,323672,35633,
366.9836,6.496,811585,24233,
321.9902,6.496,1856918,58687,
362.9703,6.496,839245,56558,
318.9804,6.497,1994103,116100,
235.1705,6.498,195659,24908,
401.947,6.515,3379165,133677,
398.9368,6.516,3492731,239256,
250.9765,6.548,1185357,50121,
376.9693,6.548,1341229,96668,
380.9769,6.567,4198786,332077,
444.973,6.568,5294772,343542,
270.2077,6.573,56541,9062,
157.1238,6.593,2815420,246043,
309.1713,6.605,71465,7056,
216.9911,6.606,170955,10607,
341.0043,6.607,392375,28896,
356.9795,6.631,525835,42290,
292.9837,6.634,2235021,160396,
226.1815,6.739,547985,76292,
297.0473,6.849,440107,120434,
221.1549,6.898,171039,25034,
235.1218,6.898,213289,25691,
239.06,6.927,2716347,538338,
223.0288,6.927,3682272,680874,
225.0268,6.928,396977,48823,
241.0582,6.928,321821,40817,
277.1812,6.947,124639,16212,
167.1443,6.961,96104,9505,
211.1344,6.961,594866,68001,
426.9689,6.98,768547,68253,
368.9773,6.988,1966977,129723,
412.9674,6.989,1030566,87213,
448.9341,6.993,3451438,273612,
494.9705,7.01,2993866,321861,
297.0476,7.025,248520,89207,
373.0449,7.161,131062,42887,
279.1606,7.174,58619,4720,
171.1393,7.193,1009354,114835,
199.1162,7.245,297702,41971,
473.2181,7.254,180692,44523,
373.0449,7.335,86964,27164,
569.0791,7.359,64881,7902,
277.1447,7.385,318338,57621,
233.155,7.388,48090,4666,
235.1338,7.391,107195,13901,
506.9576,7.436,3289810,30269,
498.9307,7.437,3534497,308909,
462.9642,7.446,1138261,105359,
418.9739,7.446,1421375,112164,
544.9672,7.469,3418791,457212,
480.9708,7.472,2880025,89688,
194.0828,7.489,2588567,274996,
249.1499,7.512,648301,114385,
527.0686,7.541,436096,66659,
507.062,7.541,185930,27100,
1249.5926,7.555,56962,43799,
467.2044,7.555,83142,21623,
219.1028,7.555,245423,30028,
835.3896,7.555,833198,422977,
413.1976,7.556,1318390,346002,
133.066,7.556,615930,55244,
145.0507,7.557,393182,24970,
511.1947,7.557,54403,12031,
533.1849,7.557,92822,32013,
540.1096,7.558,30513,10182,
495.1997,7.559,94101,25258,
493.1233,7.559,167358,41011,
189.0921,7.561,112393,11606,
293.1759,7.563,146506,28488,
433.2063,7.564,78801,18909,
283.0862,7.564,199695,38685,
316.9829,7.59,195738,17130,
336.9891,7.592,188268,17054,
440.9981,7.593,766171,77656,
257.1548,7.595,73039,10141,
456.9733,7.596,1386088,137159,
473.1651,7.596,95717,13504,
392.9769,7.598,2648714,255141,
269.2123,7.61,801525,132625,
395.2442,7.614,993144,233093,
576.9725,7.614,233284,15538,
307.1912,7.616,58778,10438,
530.8963,7.662,2333760,210734,
313.1809,7.668,78868,14280,
299.0265,7.696,203227,60112,
308.2231,7.706,166300,33607,
221.155,7.732,647645,112732,
185.1549,7.758,325049,32662,
371.066,7.794,156641,45363,
241.1811,7.82,70442,21960,
307.1918,7.827,117867,17722,
269.2124,7.839,145584,26077,
473.2184,7.86,888629,252277,
548.9279,7.864,3360546,336868,
413.1971,7.879,243737,57873,
574.9617,7.879,85636,7986,
473.9878,7.88,1128793,64495,
518.9812,7.88,1231840,53901,
512.961,7.881,1542735,157235,
468.971,7.881,1551171,136954,
290.2124,7.885,51190,7910,
308.2233,7.887,278983,56065,
371.0661,7.888,242291,85995,
271.228,7.894,368002,87705,
526.9627,7.896,670542,70140,
594.964,7.92,3580847,434390,
530.9674,7.926,2094200,259751,
269.2123,7.956,161730,21851,
313.0789,7.992,1607098,416420,
297.0473,7.992,416305,112516,
316.0772,7.993,47860,9867,
413.197,8.003,85951,26012,
447.0644,8.04,48215,11792,
233.155,8.046,256153,38757,
221.155,8.056,4298932,639180,
367.2126,8.056,433338,98957,
275.1652,8.06,113970,18031,
283.2279,8.089,132771,17918,
269.2123,8.104,184002,29291,
413.1974,8.113,829919,215647,
308.2229,8.133,80506,9652,
247.1705,8.185,236330,40205,
265.1484,8.212,1030894,138067,
413.1971,8.259,380387,116648,
497.9465,8.291,3514172,326318,
269.2123,8.296,254744,39414,
598.9247,8.297,3125052,341050,
199.1709,8.324,1939750,245892,
524.9881,8.325,1013986,59225,
562.958,8.325,1347567,144875,
518.9681,8.325,1093709,111250,
569.9816,8.325,1277715,60257,
297.1534,8.326,2147611,177280,
271.2278,8.336,80872,7424,
583.984,8.346,964048,131161,
298.1562,8.394,234016,53286,
295.2279,8.433,81966,10697,
413.1967,8.441,105957,24319,
271.2276,8.511,109180,9941,
630.8899,8.524,2188134,236577,
269.2124,8.532,219527,29789,
286.2386,8.542,93942,13075,
199.1705,8.552,390239,37794,
221.155,8.557,791206,120049,
297.2439,8.58,449036,105840,
428.2079,8.592,60147,13444,
277.1843,8.606,87754,13109,
373.0455,8.626,86308,27472,
309.1741,8.64,254918,36952,
473.2181,8.681,202211,48361,
294.2442,8.707,653821,135339,
278.2489,8.723,49048,9995,
213.1862,8.736,154612,16116,
271.228,8.742,127444,17382,
299.2023,8.786,61094,8753,
612.955,8.79,1405600,171628,
569.9683,8.79,1003691,99309,
674.9556,8.791,68773,8035,
393.1713,8.795,68754,10823,
396.147,8.799,83402,24299,
311.169,8.834,5923077,1403173,
299.2592,8.841,277073,40926,
700.9242,8.851,2727653,333298,
354.2651,8.871,79209,12277,
353.2003,8.875,157338,23167,
294.2442,8.889,1146059,241562,
297.2444,8.911,121536,25948,
269.2124,8.92,181527,29771,
213.1863,8.93,403729,52480,
278.2488,8.979,98611,19507,
165.0414,8.979,1386369,178894,
149.0098,8.98,450569,51511,
167.0386,8.983,111660,6565,
397.2263,9.024,98484,18041,
205.1599,9.058,9655162,1545515,
271.228,9.062,126899,14995,
291.1972,9.069,1276306,281066,
297.244,9.074,241517,43274,
421.2267,9.106,82886,13385,
294.244,9.108,408537,90706,
325.1844,9.135,640919,160430,
199.1706,9.234,289302,35651,
698.9181,9.238,2806585,357823,
297.244,9.246,114212,18181,
961.6457,9.259,85696,35818,
618.9619,9.289,729871,88881,
662.9523,9.29,1240380,163113,
293.1794,9.293,537841,103829,
410.1625,9.347,99179,18120,
407.1871,9.349,98665,23468,
277.1667,9.364,90663,17005,
325.1847,9.371,6539242,838016,
271.2281,9.396,189294,32968,
289.181,9.511,72457,9232,
271.2279,9.546,164613,21268,
782.5182,9.576,96594,47548,
309.2047,9.591,55941,9984,
227.2019,9.593,3335890,422209,
788.9766,9.64,609316,102947,
299.2018,9.654,212767,39381,
339.2001,9.674,360568,147214,
277.2171,9.798,82680,8632,
337.2051,9.825,78132,11882,
669.962,9.834,660695,78606,
712.9489,9.834,1127273,178260,
393.2076,9.959,92633,10860,
424.1779,9.959,70514,13180,
421.2031,9.96,119552,12616,
339.2004,9.966,3998849,576467,
171.1027,10.053,133110,10565,
241.2174,10.097,459624,82222,
253.2177,10.151,324297,57426,
239.0601,10.17,1290981,293856,
223.0288,10.171,1732952,334787,
225.0266,10.171,183508,29095,
241.0579,10.172,161032,24988,
241.2178,10.332,1079247,188679,
186.1136,10.354,153841,11702,
954.0122,10.373,44278,7491,
894.9443,10.489,104815,13226,
252.2334,10.564,81430,14132,
279.2332,10.568,2239815,363802,
321.2102,10.596,97616,15064,
888.9692,10.605,215063,30645,
143.1077,10.611,420792,35002,
157.1235,10.671,230028,17761,
635.4786,10.734,61374,24705,
768.952,10.981,427749,64944,
812.9424,10.981,1143506,185328,
473.2827,11.063,303301,85715,
533.4554,11.097,691661,235421,
511.4733,11.098,456350,150525,
377.2285,11.098,118826,18812,
309.2415,11.099,2056266,376541,
391.2441,11.099,112738,17642,
353.2302,11.1,402202,79124,
337.2365,11.1,2655431,413887,
313.191,11.1,62732,10967,
295.2257,11.101,125520,15983,
419.2392,11.101,117746,21752,
340.2105,11.101,208653,31984,
363.2496,11.102,75161,7248,
936.8603,11.103,112562,92607,
922.8789,11.104,34142,17562,
255.2333,11.104,57383980,15597343,
351.2215,11.106,63999,4690,
711.3069,11.243,27421,8169,
695.3124,11.245,72041,26326,
489.2783,11.298,35511,8090,
1059.7561,11.359,152497,108843,
653.406,11.396,82283,36658,
735.3476,11.447,121468,43430,
655.422,11.447,2824491,1222285,
677.404,11.448,95875,39969,
718.4175,11.45,211066,86803,
694.4003,11.451,42593,7933,
335.0601,11.456,40530,8038,
313.0786,11.456,711603,202798,
571.1113,11.456,33845,15185,
239.0599,11.457,1845522,371122,
223.0285,11.457,2203330,420342,
241.0577,11.458,223800,26587,
225.0263,11.459,244821,33263,
379.2457,11.502,95497,11715,
363.2516,11.505,371158,87226,
281.2489,11.506,12726004,2343622,
335.2568,11.506,344856,57946,
962.8758,11.508,45898,27780,
355.3217,11.536,226392,55360,
994.9384,11.545,119829,24185,
269.2487,11.629,277508,54208,
305.2848,11.676,84547,7892,
349.2751,11.68,1775070,433433,
313.3114,11.76,516937,111878,
311.2955,11.761,60122,7517,
269.2489,11.864,674561,135141,
350.2784,11.92,149631,16992,
349.2416,11.923,58104,7628,
171.1392,12.028,396088,40217,
143.1079,12.028,258037,17443,
912.9365,12.035,1103415,191409,
868.9459,12.036,309978,52527,
369.3372,12.205,28890,7282,
409.4054,12.444,8846580,2658624,
1202.9721,12.455,717200,192368,
536.5048,12.466,894451,355129,
711.455,12.47,63364,18822,
501.3955,12.475,9327069,3193371,
559.4737,12.482,371816,118590,
384.2305,12.57,127789,19951,
381.2294,12.57,6062454,1884673,
403.2111,12.57,108999,34692,
1091.0314,12.576,151092,98613,
491.4081,12.577,784931,225454,
589.5183,12.591,271157,150111,
368.2425,12.592,102004,18211,
365.2677,12.593,3161706,560631,
337.2729,12.593,1392219,276596,
447.2705,12.595,153475,27729,
964.8926,12.595,417757,277559,
391.2811,12.595,49226,7618,
463.2622,12.596,55849,12645,
283.2646,12.596,60498764,11717758,
950.9132,12.596,75395,43917,
954.8707,12.597,48671,28953,
572.4812,12.605,240584,109030,
316.0775,12.606,72310,21796,
165.0414,12.607,1352657,189289,
313.0789,12.607,2298957,614395,
149.0098,12.608,483424,54468,
409.4056,12.729,8047339,1473867,
575.469,12.734,403160,201764,
341.3425,12.792,75603,14815,
368.236,12.793,141749,28916,
425.3067,12.8,89617,17383,
471.3849,12.816,7649956,2698280,
661.47,12.856,358331,211534,
383.3531,12.861,550024,153513,
394.4053,12.864,688315,203070,
157.1236,12.891,177011,20622,
242.1764,12.891,172359,22156,
628.5537,12.965,443713,116069,
631.4597,12.987,78911,7896,
595.4568,12.991,31353,9038,
297.0476,13.001,7184785,1959606,
351.233,13.003,91862,16709,
754.606,13.016,199053,43913,
371.066,13.017,1404300,518049,
598.5411,13.069,1034036,296046,
423.421,13.082,6278592,2187858,
353.3423,13.12,78307,35445,
377.3058,13.203,138693,29351,
157.1235,13.225,266920,37472,
242.1764,13.225,300401,40643,
366.22,13.244,91601,23638,
1129.6887,13.266,199253,163719,
525.4533,13.373,329991,91678,
377.3064,13.396,169509,42102,
617.5121,13.398,849071,371681,
447.4205,13.402,172698,10276,
634.4421,13.407,525968,206932,
554.5163,13.408,8584360,3426288,
626.5732,13.465,1909319,816915,
559.4614,13.469,157422,23234,
410.4083,13.481,403414,7882,
566.5505,13.511,1309938,492810,
587.4751,13.512,720371,351090,
459.4208,13.525,1680032,551462,
543.4653,13.542,379043,186534,
1150.8107,13.545,253638,180617,
647.512,13.578,295995,125052,
395.3897,13.595,2887060,781590,
355.3221,13.607,144638,22212,
367.358,13.616,1026322,273359,
803.5484,13.627,793565,444563,
581.457,13.644,165224,47997,
656.5838,13.667,1663445,878591,
1173.7613,13.676,963830,694426,
313.079,13.689,1000136,294418,
261.0404,13.692,50627,8342,
703.4286,13.707,72656,20967,
1138.8103,13.724,100383,40813,
514.4629,13.738,243622,83813,
552.5365,13.743,112406,7731,
381.3739,13.824,953583,230530,
463.3821,13.878,116915,41681,
682.6109,13.89,4580899,2198272,
451.4516,13.914,714788,273189,
636.5197,13.928,371862,78237,
661.5387,13.952,785284,353990,
678.4687,13.953,495774,210058,
598.5425,13.954,8409341,3394802,
459.3285,13.965,47178,9283,
655.4214,13.98,47391,18975,
612.5583,14.002,595282,255134,
445.4055,14.039,2939520,938419,
609.4901,14.053,232325,93728,
311.2961,14.083,1096445,278977,
393.2989,14.085,44798,6956,
578.5169,14.112,272053,156559,
592.5316,14.128,442130,235871,
1129.6894,14.152,350077,253546,
411.3843,14.245,401625,102844,
596.5621,14.289,676785,317863,
369.3374,14.303,62483,45453,
668.5883,14.318,4494769,1851422,
163.0617,14.319,250784,7586,
1191.7719,14.331,31152,23816,
915.6002,14.337,262825,159036,
969.6127,14.337,87777,51994,
337.311,14.345,291246,60159,
1175.7772,14.348,1547853,1229009,
1197.7586,14.353,76653,61965,
532.4523,14.353,146499,28160,
501.3951,14.411,1224455,441378,
458.4368,14.423,2738823,924101,
638.6103,14.447,21479044,9256074,
698.6315,14.489,26724220,12588436,
550.5203,14.496,274856,29258,
773.5903,14.527,2583972,1549435,
1089.2433,14.678,870531,890846,
1133.1922,14.68,322526,323657,
1116.2623,14.681,1040449,1059310,
1119.2624,14.682,702442,404871,
1122.2629,14.684,84622,13596,
187.023,14.686,463763,15837,
316.0774,14.686,559773,164328,
1099.271,14.687,82636,143213,
313.0787,14.69,15550744,4307754,
335.0604,14.692,1093479,287349,
173.0253,14.693,632080,30192,
225.027,14.695,5765459,834723,
107.017,14.696,859460,23193,
149.0098,14.698,12084204,1379967,
223.0286,14.699,58360668,11295735,
165.0411,14.699,36082704,4641840,
239.06,14.7,45633904,8996932,
241.0584,14.703,5181173,850893,
321.0628,14.703,612709,143101,
772.6333,14.752,1132984,342360,
1116.825,14.755,78561,53959,
562.5207,14.767,478630,36555,
483.4208,14.795,715113,270691,
409.3114,14.814,261907,78550,
1129.6891,14.84,353213,235708,
479.4467,14.891,128905,12532,
487.3798,14.899,490536,168166,
325.3113,14.91,167774,24569,
447.4205,14.915,279438,49272,
559.4735,14.938,222766,118058,
787.5602,14.943,267304,389671,
541.4269,14.965,306924,103997,
457.3693,14.99,288275,89379,
417.3739,15.016,1873419,548558,
1291.8198,15.021,93534,54641,
745.4589,15.07,315763,170876,
1356.0213,15.075,66712,52569,
459.383,15.111,100520,22848,
438.4318,15.119,1141140,407907,
913.5848,15.137,230322,146357,
336.3275,15.141,977850,254378,
297.0476,15.149,5225817,1426765,
371.066,15.153,1932748,635241,
445.0847,15.156,182607,34196,
1152.8247,15.187,150903,91240,
1023.2371,15.187,112406,85511,
594.5797,15.193,1359793,501343,
610.5768,15.207,1742610,723341,
954.5779,15.219,44534,14402,
978.5953,15.222,107740,64558,
915.6003,15.222,3055252,1818475,
937.5821,15.223,159096,96356,
694.6,15.268,2628342,921123,
632.4267,15.268,60008,52731,
511.4376,15.273,198628,74374,
916.7229,15.278,107257,30936,
615.4982,15.282,113896,263145,
522.4897,15.329,3088839,1072915,
552.5005,15.33,2024633,778510,
634.4261,15.333,170457,61722,
754.6258,15.335,1477595,1259577,
580.5315,15.373,1377140,536397,
395.3897,15.378,13700022,3807060,
505.4036,15.38,311541,62131,
529.4488,15.393,14730392,5011755,
445.4049,15.395,264345,72719,
812.6816,15.414,1312794,606241,
799.6645,15.421,416268,490413,
435.4209,15.429,274393,78968,
179.0567,15.51,277526,28814,
550.5207,15.548,903529,301361,
1053.2838,15.55,97193,96339,
642.5683,15.551,1499949,482594,
724.4953,15.556,69699,15716,
261.04,15.559,104902,27036,
1015.2235,15.56,53462,48293,
1042.2436,15.562,79516,72780,
335.0603,15.563,109174,11752,
564.5361,15.565,642277,267447,
241.058,15.565,376781,88171,
313.0789,15.566,2097413,626371,
239.0601,15.566,3530465,655204,
165.0412,15.566,4534408,637020,
149.0098,15.568,1657969,194729,
513.4883,15.576,79668,155920,
1305.8342,15.593,464569,348955,
632.4433,15.608,39032,23969,
994.7075,15.63,140906,96154,
501.3954,15.631,860390,312915,
626.5724,15.682,1400789,647714,
942.7822,15.683,2397536,1358910,
601.5167,15.69,306434,103200,
179.0568,15.691,314466,41396,
538.5206,15.693,1840066,635867,
604.531,15.694,1166106,492526,
684.4596,15.695,58127,8952,
618.4503,15.7,96992,23398,
605.4803,15.702,193908,74894,
612.556,15.726,153317,67108,
424.4239,15.727,482720,149141,
566.5498,15.728,574355,240368,
445.0843,15.777,129835,15095,
898.7552,15.785,4654508,2691294,
371.0661,15.785,2068537,687285,
437.4369,15.8,6313943,2094234,
1023.2367,15.803,93816,90651,
519.4396,15.805,352867,109070,
491.4446,15.809,119694,23891,
339.3271,15.811,853148,254993,
525.4865,15.874,349713,176723,
623.4905,15.877,109068,19084,
253.2174,15.891,217329,10366,
675.5222,15.923,335125,121953,
655.3703,15.926,152448,63423,
279.233,15.938,522096,105440,
1297.9142,15.98,55456,40134,
451.4526,15.98,7862090,2560378,
792.5768,15.985,1392200,1239306,
570.5321,15.991,145965,10915,
533.4555,15.991,429027,134293,
748.6236,15.999,3456569,1788792,
750.6949,16.008,295812,163298,
794.6473,16.009,516789,365357,
772.6676,16.014,3057220,2017671,
422.4369,16.038,674183,122442,
594.5475,16.067,1463168,621495,
568.5314,16.076,846559,328075,
618.5837,16.11,361479,28273,
1331.7733,16.116,234043,215827,
511.4373,16.132,254920,35564,
433.4052,16.133,99848,12094,
923.5182,16.172,139881,29769,
477.4304,16.191,340771,103353,
583.4736,16.2,651664,265495,
395.3896,16.233,1588718,505596,
173.0254,16.277,580933,26003,
239.06,16.277,46601788,9527374,
225.027,16.278,6301924,902162,
223.0287,16.278,57134508,11532504,
241.0585,16.279,5410556,891928,
107.017,16.28,1216469,73904,
149.0099,16.28,8416612,996710,
313.0788,16.281,23840882,6508250,
335.0604,16.284,1015287,276121,
261.0414,16.286,1012233,142068,
165.0411,16.288,27392550,3337552,
187.023,16.291,606537,55938,
409.0788,16.291,377529,112831,
1207.2098,16.294,253364,278235,
1190.28,16.295,950281,1058165,
1163.2609,16.296,691194,741146,
1173.288,16.299,95631,118761,
317.0751,16.323,184848,9355,
1138.8109,16.34,666360,461071,
771.5736,16.407,2306949,1347528,
592.533,16.453,455835,289652,
505.4624,16.455,148023,141938,
613.5599,16.46,126032,26759,
618.5245,16.469,162570,94990,
666.5684,16.473,1003685,307516,
642.5689,16.475,1973593,998121,
564.5511,16.487,94781,17519,
655.3702,16.498,318796,139886,
916.7647,16.5,713623,441528,
1090.6585,16.53,197997,133621,
532.4013,16.588,130751,14257,
627.3385,16.619,331942,134054,
689.5706,16.673,733100,209657,
550.5206,16.683,355710,54994,
626.5739,16.685,7102052,3253333,
706.4994,16.687,382537,178895,
563.5526,16.687,1398151,119857,
452.4508,16.729,366484,104465,
542.4943,16.743,822753,339107,
744.5552,16.753,335048,32564,
566.344,16.755,486053,109124,
585.3234,16.756,113324,37907,
563.342,16.757,8709302,4245701,
493.2631,16.759,477019,202302,
1050.9993,16.762,66589,46436,
987.7645,16.777,65896,49807,
809.6847,16.795,477175,111245,
1140.0189,16.796,85109,75888,
527.4474,16.798,8033012,3094999,
423.4209,16.799,33489806,9979020,
505.4244,16.8,1400299,428166,
1089.0524,16.804,88075,54697,
477.4297,16.804,752115,233935,
587.4292,16.81,80488,10213,
498.4524,16.833,114433,30677,
1121.0781,16.834,169224,118707,
353.3425,16.835,396384,130068,
606.5479,16.843,563054,325197,
1065.0147,16.844,71849,47057,
1084.9142,16.859,66746,48173,
1093.048,16.872,455550,339555,
664.626,16.884,10363296,4734151,
868.7437,16.887,1383063,802990,
134.0472,16.924,1349735,75830,
660.4864,16.924,658984,284146,
742.4898,16.926,210057,82239,
724.6486,16.928,15404242,8157793,
640.5898,16.943,9451931,4151995,
613.5589,16.945,80988,50724,
769.5586,16.95,592145,396317,
476.3746,16.987,217507,45429,
601.4485,16.993,257724,95659,
870.7534,17.002,945098,446063,
502.462,17.02,147544,32344,
983.5463,17.028,67336,25444,
750.6944,17.028,726957,393199,
814.6952,17.042,752869,542784,
680.6223,17.044,9066718,4487304,
704.5983,17.124,9923312,4682634,
748.5474,17.131,4483203,2111418,
731.6188,17.138,8787644,7960386,
800.5734,17.142,1022830,640878,
706.5983,17.145,4128567,1832610,
1338.247,17.155,78219,325261,
759.6496,17.159,4099265,2170910,
568.5303,17.162,101689,20900,
638.5742,17.17,1915770,839569,
750.6229,17.171,1922082,1246085,
578.5875,17.172,377775,152313,
668.621,17.172,123324184,55929436,
814.6377,17.176,715862,399263,
901.549,17.178,259993,149030,
591.5838,17.179,3177499,1404068,
980.7909,17.206,342188,204131,
1164.8258,17.213,127518,93179,
535.5216,17.221,750169,291041,
696.652,17.225,49484152,22806796,
655.37,17.25,468826,168463,
1038.8745,17.252,885511,604225,
518.9358,17.291,795579,219880,
1087.6788,17.301,968518,618273,
626.5731,17.364,1254380,606152,
565.521,17.381,1206573,577876,
1305.8343,17.389,73309,50628,
552.5352,17.389,32171,6719,
1359.8041,17.411,318083,264501,
1322.2141,17.435,103808,91646,
1319.8499,17.492,508092,383250,
473.4005,17.496,4599118,1568284,
417.3371,17.498,82347,7779,
577.4262,17.51,478563,181423,
732.5154,17.513,965348,433099,
784.542,17.521,240123,122536,
768.6017,17.527,420748,258395,
612.5573,17.534,693181,463208,
830.7601,17.55,672148,447135,
572.4697,17.552,305666,152532,
690.5707,17.56,745707,285470,
529.4272,17.573,579760,289985,
1038.7323,17.578,58306,12135,
1352.26,17.586,350391,280698,
486.4685,17.592,5328910,1952872,
547.4158,17.629,769749,308883,
1336.2302,17.656,221822,196679,
608.5637,17.662,917293,406167,
1173.7173,17.679,116381,65090,
1157.7202,17.687,508969,338352,
523.509,17.702,156338,56396,
471.385,17.708,325218,95993,
335.0602,17.774,91755,4405,
225.0265,17.78,595865,81325,
316.0772,17.78,103627,18746,
828.636,17.782,901555,489155,
223.0287,17.782,4978175,1091664,
241.0578,17.784,510135,61101,
239.0599,17.785,3816814,762356,
149.0097,17.785,1287482,153997,
165.0413,17.785,3630491,566250,
313.0789,17.786,3108608,842898,
977.8114,17.833,134126,7907,
371.066,17.842,375345,114534,
936.7882,17.848,328622,208126,
824.6606,17.859,2644325,1483144,
682.6361,17.895,187119632,91440112,
889.7223,17.895,518522,98222,
868.6267,17.904,158223,20555,
764.6389,17.911,3573248,1761270,
527.4109,17.914,151165,11363,
721.6147,17.934,2824221,620142,
459.4209,17.939,452134,94653,
745.6349,17.945,13658257,6589493,
1366.2771,17.954,1446785,1245709,
718.6132,17.963,17152120,8271622,
822.6452,17.985,433017,269709,
762.5619,17.991,7296427,3402779,
740.644,18.025,10617963,5448038,
1364.2615,18.026,431632,394216,
478.4993,18.051,782231,231536,
680.621,18.055,31636194,15048436,
702.6022,18.064,437247,244386,
760.5468,18.152,1142039,528810,
768.6049,18.171,93155,66945,
367.3582,18.195,862661,222829,
812.5742,18.274,100214,80450,
118.942,18.626,600799,6762,
