fragment_difference,reference,comment
CF2,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00216",perfluoroalkyl chain fragmentation
C2F4,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00217",perfluoroalkyl chain fragmentation
C3F6,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00218",perfluoroalkyl chain fragmentation
HF,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00219","H and F in vicinity, neutral loss"
H2F2,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00220","H and F in vicinity, neutral loss"
H3F3,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00221","H and F in vicinity, neutral loss, CAUTION: similar mass as acetate"
C8H3F13,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00222",telomer-chain neutral loss
C10H3F17,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00223",telomer-chain neutral loss
C12H3F21,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00224",telomer-chain neutral loss
C14H3F25,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00225",telomer-chain neutral loss
CF2SO3,"Zweigle, J., Bugsel, B., & Zwiener, C. (2022). https://doi.org/10.1021/acs.analchem.2c01521 | Zweigle, J., Bugsel, B., Roehler, K., Haluska, A. A., & Zwiener, C. (2023). https://doi.org/10.1021/acs.est.2c07969 | Bugsel, B., Zweigle, J., & Zwiener, C. (2023) https://doi.org/10.1016/j.teac.2023.e00226",sulfonic acid PFAS
