name,SMILES,formula,exact_mass
"1H-Perfluoro-3,3-bis(trifluoromethyl)hexyne",C#CC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F,C8HF13,343.9870669
Bis(heneicosafluorodecyl)phosphinic acid,C(CP(=O)(CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C20H9F34O2P,957.9797256
Tris(2-(perfluorododecyl)ethyl)phosphate,C(COP(=O)(OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C42H12F75O4P,2035.927562
"2-Chloro-2-propenoic acid 3,3,4,4,5,5,6,6,6-nonafluorohexyl ester",C=C(C(=O)OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)Cl,C9H6ClF9O2,351.9912611
"Bicyclo[2.2.1]hept-2-ene, 5,5,6-trifluoro-6-(heptafluoropropoxy)-",C1=CC2CC1C(C2(F)OC(C(C(F)(F)F)(F)F)(F)F)(F)F,C10H6F10O,332.025897
"3,3,4-Trifluoro-4-(heptafluoropropoxy)tricyclo[4.2.1.0~2,5~]non-7-ene",C1=CC2CC1C1C2C(C1(F)F)(F)OC(C(C(F)(F)F)(F)F)(F)F,C12H8F10O,358.0415471
5-(Nonafluorobutyl)bicyclo[2.2.1]hept-2-ene,C1=CC2CC1CC2C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C11H9F9,312.0560543
3-(Heptafluorobutyryl)camphor,CC1(C)C2CCC1(C)C(=O)C2C(=O)C(C(C(F)(F)F)(F)F)(F)F,C14H15F7O2,348.0960273
Perfluorobutylsulfonamide,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F,C4H2F9NO2S,298.9662533
"N-(3,4-Dichlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",c1cc(c(cc1N=C(C(C(C(F)(F)F)(F)F)(F)F)O)Cl)Cl,C10H4Cl2F7NO,356.9558166
